"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","258,592","±82"
"    White alone","120,836","±4,613"
"    Black or African American alone","92,529","±4,865"
"    American Indian and Alaska Native alone","894","±471"
"    Asian alone","17,442","±2,494"
"    Native Hawaiian and Other Pacific Islander alone","8","±16"
"    Some other race alone","15,933","±2,841"
"    Two or more races:","10,950","±2,693"
"        Two races including Some other race","3,244","±1,398"
"        Two races excluding Some other race, and three or more races","7,706","±2,191"